"","HL_HO2","LL_HO2","LL_LO2","HL_LO2","FC.HLHO.div.HL_LO2","FC.HLHO.div.LL_HO2","FC.HLHO.div.LL_LO2","FC.LLHO.div.HL_LO2","FC.LLHO.div.LL_LO2","FC.LLLO.div.HL_LO2","Locus.tag","Ortholog.group","Genome.count.calc","Reference..PMID.","Curated.Product.Descriptor","Gene","Gene.Aliases","Functional.role","regulon","cofactor","substrate","Regulator.family","Merops.family","CAZY","TC.family","E.C.","evolution","Genome.count.calc.1","Loc.Sys","Loc.Cleave","protein.localization","X7002","X6803"
"A0001",17.2261965982682,20.8234509517745,21.4463407636271,24.6318436901494,0.699346618749338,0.82724984625088,0.803223113356648,0.845387426687109,0.970955893188591,0.870675416481465,"7002_A0001","cyan1264",14,"","chromosome replication initiator DnaA","dnaA","","DNA replication","","","","","","","","","core",2,"","","cyt","7002_A0001","sll0848"
"EXON",0,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0002",30.1458440469693,28.3956149342379,25.7356089163526,25.5441341971919,1.18014741913951,1.06163730268863,1.17136704031178,1.1116295708061,1.10335896953249,1.00749583907141,"7002_A0002","cyan6232",7,"","ABC-type metal transport system substrate-binding component BtuF family","","","Cofactor B12 salvage? (note: no sec leader and N-term highly conserved in orthologs, is this function wrong????)","","","","","","","3.A.1.14","","",1,"","","cyt","7002_A0002",""
"A0003",3996.47761079822,2513.01192168006,3556.87561564756,1692.29889056396,2.36156723441825,1.59031382872486,1.12359217545217,1.48496931345419,0.706522294629788,2.10180106805023,"7002_A0003","cyan3878",7,"","conserved hypothetical protein","","","","","","","","","","","","",1,"","","cyt","7002_A0003",""
"A0004",10.7663728739176,13.251286969311,15.012438534539,20.0703911549365,0.536430645063413,0.812477527567829,0.717163494068435,0.660240593569685,0.882687175625992,0.747989335068168,"7002_A0004","cyan6943b",1,"","conserved hypothetical with alkylhydroperoxidase AhpD family core domain","","","","","","","","","","","","",1,"","","cyt","7002_A0004",""
"A0005",17.2261965982682,15.1443279649269,9.65085334363221,17.3335196338088,0.993808352959586,1.13746853859496,1.78494025190366,0.873701838107252,1.56922164555732,0.556774016328937,"7002_A0005","cyan6943a",2,"","conserved hypothetical protein","","","","","","","","","","","","",1,"Sec","","IM 1 TM","7002_A0005",""
"A0006",4.30654914956704,5.67912298684758,5.36158519090678,8.21061456338312,0.524509964062004,0.758312359063307,0.803223113356648,0.691680621834908,1.05922461075119,0.653006562361099,"7002_A0006","cyan5542",7,"","N-acetylmannosamine-6-phosphate 2-epimerase NanE","nanE","","Sialic Acid Metabolism","","","","","","","","5.1.3.9","",1,"","","cyt","7002_A0006",""
"A0007",3.22991186217528,11.3582459736952,10.7231703818136,8.21061456338312,0.393382473046503,0.28436713464874,0.301208667508743,1.38336124366982,1.05922461075119,1.3060131247222,"7002_A0007","cyan2419",14,"","phosphoribosylglycinamide formyltransferase PurN","purN","","De Novo Purine Biosynthesis","","","","","","","","2.1.2.2","core",2,"","","cyt","7002_A0007","slr0477"
"A0008",17.2261965982682,25.5560534408141,22.5186578018085,22.8072626760642,0.755294348249285,0.674055430278495,0.764974393672998,1.12052260737255,1.13488351151913,0.987345922289982,"7002_A0008","cyan0851a",5,"","mannose-6-phosphate isomerase, ManA","manA","","Fructose and mannose metabolism","","","","","","","","5.3.1.8","",2,"","","cyt","7002_A0008","slr2074"
"A0009",20.4561084604435,15.1443279649269,19.3017066872644,9.12290507042569,2.24228009636507,1.35074388958152,1.0598082745678,1.66003349240378,0.784610822778659,2.11574126204996,"7002_A0009","cyan6016",6,"","transcriptional regulator Spx/MgsR family","","","Oxidative stress - thiol-specific","","","","Spx/MgsR","","","","","",1,"","","cyt","7002_A0009",""
"A0010",24.7626576100105,17.9838894583507,19.3017066872644,21.8949721690216,1.1309746100087,1.37693559935179,1.28292580605576,0.821370738428953,0.931725352049658,0.881558859187484,"7002_A0010","cyan8081",3,"","fructose-bisphosphate aldolase class I, FbaB","fbaB","","Glycolysis and Gluconeogenesis","","","","","","","","4.1.2.13","",1,"","","cyt","7002_A0010",""
"A0011",137.809572786145,164.69456661858,116.882557161768,96.7027937465123,1.42508367594205,0.836758465173304,1.1790431021749,1.70310039904633,1.40906026200846,1.20867818429479,"7002_A0011","DUF820",1,"","putative endonuclease DUF820 family","","","Genome evolution?","","","","","","","","","",1,"","","cyt","7002_A0011",""
"A0012",692.277775792902,389.019924599059,438.577668616175,440.636314901561,1.57108652278821,1.77954323677995,1.57846106934084,0.882859427248904,0.887003494333209,0.995328014928035,"7002_A0012","cyan10469",1,"","ADP-ribose pyrophosphatase NudF","nudF","","Cofactor NAD synth","","","","","","","","3.6.1.13","",1,"","","cyt","7002_A0012",""
"A0013",717.040433402913,562.233175697911,524.363031670684,401.40782309873,1.78631404806117,1.27534351297011,1.36745039237098,1.40065325921569,1.072221231742,1.30630994588691,"7002_A0013","cyan10470",1,"","hypothetical protein","","","","","","","","","","","","",1,"","","cyt","7002_A0013",""
"A0014",108.740366026568,102.224213763256,84.7130460163272,85.7553076620014,1.26803073758607,1.06374372590825,1.28363187419338,1.19204532699207,1.20671158186844,0.987846097529237,"7002_A0014","cyan0665",11,"","protein of unknown function DUF1995","","","","","","","","","","","","core",2,"","","cyt","7002_A0014","slr1702"
"A0015",59.2150508065468,38.8073404101251,25.7356089163526,44.7022348450859,1.32465526638108,1.52587242982251,2.30089954346956,0.868129760058098,1.50792392502774,0.575711908040806,"7002_A0015","cyan2491",10,"","metallophosphoesterase TIGR041688 family","","","","","","","","","","","","",2,"","","cyt","7002_A0015","slr0418"
"A0016",525.398996247179,248.934890923486,215.535724674453,135.0189950423,3.89129689554108,2.11058801077696,2.43764228431619,1.84370273860724,1.15495884173948,1.59633631258274,"7002_A0016","cyan3779",10,"","glyoxalase superfamily protein","","","","","","","","","","","","check",1,"","","cyt","7002_A0016",""
"A0017",850.543457039491,534.784081261481,493.265837563424,333.89832557758,2.54731273530112,1.59044273538056,1.72431048791237,1.60163750547837,1.08417011788845,1.47729353452183,"7002_A0017","cyan4299",4,"","conserved hypothetical protein","","","","","","","","","","","","",1,"","","cyt","7002_A0017",""
"A0018",357.443579414065,230.004480967327,246.632918781712,240.844693859238,1.48412478467544,1.55407224203097,1.44929387844786,0.954990858556151,0.932578189900504,1.02403301824809,"7002_A0018","cyan10471",1,"","hypothetical protein","","","","","","","","","","","","",1,"","","cyt","7002_A0018",""
"A0019",102.280542302217,91.8124882873693,67.5559734054255,59.298882957767,1.72483084335774,1.1140155790363,1.51401182081114,1.5483004688766,1.35905803231303,1.13924529494998,"7002_A0019","cyan10472",1,"","ATPase, AAA family","","","","","ATP","","","","","","3.6.3.-","",1,"","","cyt","7002_A0019",""
"A0020",26.915932184794,35.9677789167014,31.0971941072594,27.3687152112771,0.983456182616257,0.748334564865105,0.865542148013629,1.31419318148632,1.1566245749582,1.13623141850831,"7002_A0020","cyan2203",14,"","rRNA small subunit methyltransferase RsmD","rsmD","","RNA methylation","","","","","","","","2.1.1.-","core",2,"","","cyt","7002_A0020","slr0383"
