Locus tag,Ortholog group,Genome count calc,Reference (PMID),Curated Product Descriptor,Gene,Gene Aliases,Functional role,regulon,cofactor,substrate,Regulator family,Merops family,CAZY,TC family,E.C.,evolution,Genome count calc,Loc Sys,Loc Cleave,protein localization,7002,6803
7002_A0001,cyan1264,14,,chromosome replication initiator DnaA,dnaA,,DNA replication,,,,,,,,,core,2,,,cyt,7002_A0001,sll0848
7002_A0002,cyan6232,7,,ABC-type metal transport system substrate-binding component BtuF family,,,"Cofactor B12 salvage? (note: no sec leader and N-term highly conserved in orthologs, is this function wrong????)",,,,,,,3.A.1.14,,,1,,,cyt,7002_A0002,
7002_A0003,cyan3878,7,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0003,
7002_A0004,cyan6943b,1,,conserved hypothetical with alkylhydroperoxidase AhpD family core domain,,,,,,,,,,,,,1,,,cyt,7002_A0004,
7002_A0005,cyan6943a,2,,conserved hypothetical protein,,,,,,,,,,,,,1,Sec,,IM 1 TM,7002_A0005,
7002_A0006,cyan5542,7,,N-acetylmannosamine-6-phosphate 2-epimerase NanE,nanE,,Sialic Acid Metabolism,,,,,,,,5.1.3.9,,1,,,cyt,7002_A0006,
7002_A0007,cyan2419,14,,phosphoribosylglycinamide formyltransferase PurN,purN,,De Novo Purine Biosynthesis,,,,,,,,2.1.2.2,core,2,,,cyt,7002_A0007,slr0477
7002_A0008,cyan0851a,5,,"mannose-6-phosphate isomerase, ManA",manA,,Fructose and mannose metabolism,,,,,,,,5.3.1.8,,2,,,cyt,7002_A0008,slr2074
7002_A0009,cyan6016,6,,transcriptional regulator Spx/MgsR family,,,Oxidative stress - thiol-specific,,,,Spx/MgsR,,,,,,1,,,cyt,7002_A0009,
7002_A0010,cyan8081,3,,"fructose-bisphosphate aldolase class I, FbaB",fbaB,,Glycolysis and Gluconeogenesis,,,,,,,,4.1.2.13,,1,,,cyt,7002_A0010,
7002_A0011,DUF820,1,,putative endonuclease DUF820 family,,,Genome evolution?,,,,,,,,,,1,,,cyt,7002_A0011,
7002_A0012,cyan10469,1,,ADP-ribose pyrophosphatase NudF,nudF,,Cofactor NAD synth,,,,,,,,3.6.1.13,,1,,,cyt,7002_A0012,
7002_A0013,cyan10470,1,,hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0013,
7002_A0014,cyan0665,11,,protein of unknown function DUF1995,,,,,,,,,,,,core,2,,,cyt,7002_A0014,slr1702
7002_A0015,cyan2491,10,,metallophosphoesterase TIGR041688 family,,,,,,,,,,,,,2,,,cyt,7002_A0015,slr0418
7002_A0016,cyan3779,10,,glyoxalase superfamily protein,,,,,,,,,,,,check,1,,,cyt,7002_A0016,
7002_A0017,cyan4299,4,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0017,
7002_A0018,cyan10471,1,,hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0018,
7002_A0019,cyan10472,1,,"ATPase, AAA family",,,,,ATP,,,,,,3.6.3.-,,1,,,cyt,7002_A0019,
7002_A0020,cyan2203,14,,rRNA small subunit methyltransferase RsmD,rsmD,,RNA methylation,,,,,,,,2.1.1.-,core,2,,,cyt,7002_A0020,slr0383
