Locus tag	Ortholog group	Genome count calc	Reference (PMID)	Curated Product Descriptor	Gene	Gene Aliases	Functional role	regulon	cofactor	substrate	Regulator family	Merops family	CAZY	TC family	E.C.	evolution	Genome count calc	Loc Sys	Loc Cleave	protein localization	7002	6803
7002_A0001	cyan1264	14	na	chromosome replication initiator DnaA	dnaA	na	DNA replication	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0001	sll0848
7002_A0002	cyan6232	7	na	ABC-type metal transport system substrate-binding component BtuF family	na	na	"Cofactor B12 salvage? (note: no sec leader and N-term highly conserved in orthologs, is this function wrong????)"	na	na	na	na	na	na	3.A.1.14	na	na	2	na	na	cyt	7002_A0002	na
7002_A0003	cyan3878	7	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0003	na
7002_A0004	cyan6943b	1	na	conserved hypothetical with alkylhydroperoxidase AhpD family core domain	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0004	na
7002_A0005	cyan6943a	2	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	Sec	na	IM 1 TM	7002_A0005	na
7002_A0006	cyan5542	7	na	N-acetylmannosamine-6-phosphate 2-epimerase NanE	nanE	na	Sialic Acid Metabolism	na	na	na	na	na	na	na	5.1.3.9	na	2	na	na	cyt	7002_A0006	na
7002_A0007	cyan2419	14	na	phosphoribosylglycinamide formyltransferase PurN	purN	na	De Novo Purine Biosynthesis	na	na	na	na	na	na	na	2.1.2.2	core	2	na	na	cyt	7002_A0007	slr0477
7002_A0008	cyan0851a	5	na	"mannose-6-phosphate isomerase, ManA"	manA	na	Fructose and mannose metabolism	na	na	na	na	na	na	na	5.3.1.8	na	2	na	na	cyt	7002_A0008	slr2074
7002_A0009	cyan6016	6	na	transcriptional regulator Spx/MgsR family	na	na	Oxidative stress - thiol-specific	na	na	na	Spx/MgsR	na	na	na	na	na	2	na	na	cyt	7002_A0009	na
7002_A0010	cyan8081	3	na	"fructose-bisphosphate aldolase class I, FbaB"	fbaB	na	Glycolysis and Gluconeogenesis	na	na	na	na	na	na	na	4.1.2.13	na	2	na	na	cyt	7002_A0010	na
7002_A0011	DUF820	1	na	putative endonuclease DUF820 family	na	na	Genome evolution?	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0011	na
7002_A0012	cyan10469	1	na	ADP-ribose pyrophosphatase NudF	nudF	na	Cofactor NAD synth	na	na	na	na	na	na	na	3.6.1.13	na	2	na	na	cyt	7002_A0012	na
7002_A0013	cyan10470	1	na	hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0013	na
7002_A0014	cyan0665	11	na	protein of unknown function DUF1995	na	na	na	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0014	slr1702
7002_A0015	cyan2491	10	na	metallophosphoesterase TIGR041688 family	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0015	slr0418
7002_A0016	cyan3779	10	na	glyoxalase superfamily protein	na	na	na	na	na	na	na	na	na	na	na	check	2	na	na	cyt	7002_A0016	na
7002_A0017	cyan4299	4	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0017	na
7002_A0018	cyan10471	1	na	hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0018	na
7002_A0019	cyan10472	1	na	"ATPase, AAA family"	na	na	na	na	ATP	na	na	na	na	na	3.6.3.-	na	2	na	na	cyt	7002_A0019	na
7002_A0020	cyan2203	14	na	rRNA small subunit methyltransferase RsmD	rsmD	na	RNA methylation	na	na	na	na	na	na	na	2.1.1.-	core	2	na	na	cyt	7002_A0020	slr0383
7002_A0021	cyan4763	10	na	alpha/beta hydrolase fold protein	na	na	Proteolysis	na	na	na	na	S33	na	na	na	check	2	na	na	cyt	7002_A0021	na
7002_A0022	cyan2030	9	na	WD-repeat protein involved in the control of a high-affinity transport of inorganic carbon HatR	hatR	na	Transport: CO2	na	na	na	na	S09	na	na	na	na	2	Sec	na	IM 1 TM	7002_A0022	slr0143
7002_A0023	cyan0952	14	na	cell division protein FtsQ	ftsQ	na	Cell division	na	na	na	na	na	na	na	na	core	2	Sec	na	IM 1 TM	7002_A0023	sll1632
7002_A0024	cyan0951	14	na	cell division tubulin protein FtsZ	ftsZ	na	Cell division	na	na	na	na	na	na	na	3.4.24.-	core	2	na	na	cyt-IM-assoc	7002_A0024	sll1633
7002_A0025	cyan7975	9	na	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase ThiD	thiD	na	Cofactor thiamin (B1) synth	na	na	na	na	na	na	na	2.7.1.49 2.7.4.7	na	2	na	na	cyt	7002_A0025	na
7002_A0026	cyan1613	7	18931125	GTPase associated with carbon-concentrating mechanism	na	na	CCM	na	na	na	na	na	na	na	na	na	2	Sec	na	IM 3 TM	7002_A0026	sll0804
7002_A0027	cyan10473	1	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0027	na
7002_A0028	cyan4596	6	na	"D-glycerate 3-kinase, plant type, GlyK"	glyK	na	Photorespiration (oxidative C2 cycle)	na	na	na	na	na	na	na	2.7.1.31	na	2	na	na	cyt	7002_A0028	na
7002_A0029	cyan1918	2	na	"transporter, LysE family"	na	na	Transport	na	na	na	na	na	na	na	na	na	2	Sec	na	IM 6 TM	7002_A0029	slr1627
7002_A0030	cyan0410	11	na	polysaccharide pyruvyl transferase CsaB	csaB	na	S layer	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0030	slr0688
7002_A0031	cyan0792	7	na	"DNA-binding stress response protein, Dps family"	na	na	Oxidative stress	na	na	na	na	na	na	na	1.16.3.1	na	2	na	na	cyt	7002_A0031	slr1894
7002_A0033	cyan1993a	9	na	"transporter with N-terminal DUF21 domain, CBS, and CorC domains"	na	na	Transport	na	na	na	na	na	na	9.A.40	na	na	2	Sec	na	IM 3 TM	7002_A0033	sll0260
7002_A0034	cyan2981	14	na	3'-Phosphoadenosine-5'-phosphosulfate (PAPS) 3'-phosphatase CysQ	cysQ	na	Sulfur metabolism	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0034	sll0895
7002_A0035	cyan0935	14	na	lysyl-tRNA synthetase LysS	lysS	na	Aminoacyl-tRNA biosynthesis	na	na	na	na	na	na	na	6.1.1.6	core	2	na	na	cyt	7002_A0035	slr1550
7002_A0036	cyan10474	1	na	hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0036	na
7002_A0037	cyan1162	14	na	tryptophanyl-tRNA synthetase TrpS	trpS	na	Aminoacyl-tRNA biosynthesis	na	na	na	na	na	na	na	6.1.1.2	core	2	na	na	cyt	7002_A0037	slr1884
7002_A0038	cyan1185	14	na	"5, 10-methylenetetrahydrofolate reductase MetF"	metF	na	Qunione biosynthesis	na	na	na	na	na	na	na	1.5.1.20	core	2	na	na	cyt	7002_A0038	slr2141
7002_A0039	cyan0589	9	na	phenazine biosynthetic protein PhzF homolog	na	na	na	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0039	slr1019
7002_A0039.1^	cyan10465	1	na	phenazine biosynthetic protein PhzF homolog	na	na	na	na	na	na	na	na	na	na	na	truncated core paralog	2	na	na	cyt	7002_A0039.1^	na
7002_A0040	cyan0443	14	na	ATP-dependent metalloprotease FtsH3	ftsH3	na	Proteolysis: Protein repair	na	ATP	na	na	M41	na	na	3.4.24.-	core	2	Sec	na	IM 2 TM	7002_A0040	slr1604
7002_A0041	cyan1400	7	na	protein of unknown function DUF490	na	na	na	na	na	na	na	na	na	na	na	na	2	Sec	na	IM 1 TM	7002_A0041	sll1586
7002_A0042	cyan6674	2	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0042	na
7002_A0043	cyan2883	9	na	lycopene cyclase CruP	cruP	na	Carotenoids	na	FAD	na	na	na	na	na	na	core	2	na	na	cyt-TM assoc	7002_A0043	sll0659
7002_A0044	cyan1576	5	na	uracil-DNA glycosylase superfamily protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0044	sll1217
7002_A0045	cyan2908a	6	na	"positive phototaxis two component signal transduction system, response regulator, PixG"	pixG	pisG pixG rer1 taxP1	Sensory tranduction: phototaxis	na	na	na	na	na	na	na	na	na	2	na	na	cyt-IM assoc	7002_A0045	sll0038
7002_A0046	cyan2907	6	na	"positive phototaxis two component signal transduction system, response regulator, PixH"	pixH	pisH pixH taxY1	Sensory tranduction: phototaxis	na	na	na	na	na	na	na	na	na	2	na	na	cyt-IM assoc	7002_A0046	sll0039
7002_A0047	cyan2906	6	na	positive phototaxis adaptor protein PixI	pixI	 pisI pixI taxW1	Sensory tranduction: phototaxis	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0047	sll0040
7002_A0048	cyan2905	10	21712441	blue light-responsive cyanobacteriochrome PixJ	pixJ	pisJ1 pixJ1 taxD1	Sensory transduction - phototaxis	SigF	na	na	na	na	na	na	na	na	2	na	na	cyt-IM assoc	7002_A0048	sll0041
7002_A0049	cyan2903	6	1860450 18604500	"positive phototaxis signal transduction system, hybrid histidine kinase / response regulator PixL"	pixL	hik18 pixL taxAY1	Sensory tranduction: phototaxis	na	na	na	na	na	na	na	2.7.13.3	na	2	na	na	cyt	7002_A0049	sll0043
7002_A0050	cyan2105	12	na	protein of unknown function DUF3318	na	na	na	na	na	na	na	na	na	na	na	na	2	Sec	na	IM 1 TM	7002_A0050	slr1949
7002_A0051	cyan5460	10	na	Fur-regulated transcriptional regulator ArsR family	na	na	Iron homeostasis	Fur	na	na	ArsR	na	na	na	na	na	2	na	na	cyt	7002_A0051	na
7002_A0052	cyan2355	14	na	acetyl-CoA carboxylase biotin carboxyl carrier protein AccB	accB	fabE	Fatty Acid Biosynthesis FASII	na	na	na	na	na	na	na	6.4.1.2	core	2	na	na	cyt	7002_A0052	slr0435
7002_A0053	cyan2354	14	na	translation elongation factor P Efp	efp	na	Translation factors	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0053	slr0434
7002_A0054	cyan2210	11	17159215	competence protein ComF	comF	na	Genome evolution - DNA uptake	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0054	slr0388
7002_A0055	cyan5594	2	na	toxin-antitoxin system toxin PIN family	na	na	Toxin-antitoxin	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0055	na
7002_A0056	cyan5592	1	na	toxin-antitoxin system antidote Rhh family	na	na	Toxin-antitoxin	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0056	na
7002_A0057	cyan10475	1	na	dioxygenase	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0057	na
7002_A0058	cyan2192	14	na	acetyl-CoA carboxylase carboxyltransferase beta subunit AccD	accD	na	Fatty Acid Biosynthesis FASII	na	na	na	na	na	na	na	6.4.1.2	core	2	na	na	cyt	7002_A0058	sll0336
7002_A0059	cyan3778	3	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0059	na
7002_A0060	cyan0085	4	na	"7,8-dihydro-8-oxoguanine-triphosphatase, MutT"	mutT	na	DNA repair	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0060	sll1045
7002_A0061	cyan2254	12	na	ribonuclease III Rnc	rnc	na	na	na	na	na	na	na	na	na	3.1.26.3	core	2	na	na	cyt	7002_A0061	slr0346
7002_A0062	cyan10476	1	na	hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	Sec	LepB	peri	7002_A0062	na
7002_A0063	cyan0062	11	na	membrane protein UPF0182 family	na	na	na	na	na	na	na	na	na	na	na	core	2	Sec	na	IM 9 TM	7002_A0063	sll1060
7002_A0064	cyan2789	7	na	"5'-nucleotidase, UshA"	ushA	na	Purine conversions	na	na	na	na	na	na	na	3.1.3.5	na	2	Sec	LepB	peri	7002_A0064	slr0306
7002_A0065	cyan1183	14	na	protein of unknown function DUF3571	na	na	na	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0065	ssl3829
7002_A0066	cyan0928	9	na	protein of unknown function UPF0061 family	yidU	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0066	sll1464
7002_A0067	cyan1665d	2	na	"light-independent protochlorophyllide reductase, B subunit, BchB"	bchB	na	Chlorophyll biosynthesis	na	na	na	na	na	na	na	na	paralog	2	na	na	cyt	7002_A0067	ssr2049
7002_A0068	cyan2298a	14	na	lipid A disaccharide synthase LpxB	lpxB	na	Lipopolysaccharide synth - LipidA	na	na	na	na	na	GT19	na	2.4.1.182	core	2	na	na	cyt	7002_A0068	slr0015
7002_A0069	cyan2501	14	na	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase LpxA	lpxA	na	Lipopolysaccharide synth - LipidA	na	na	na	na	na	na	na	2.3.1.129	core	2	na	na	cyt	7002_A0069	sll0379
7002_A0070	cyan1373	14	na	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ	fabZ	na	Fatty Acid Biosynthesis FASII	na	na	na	na	na	na	na	4.2.1.-	core	2	na	na	cyt	7002_A0070	sll1605
7002_A0071	cyan6205	5	na	protein of unknown function DUF2805	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0071	na
7002_A0072	cyan1416	14	na	50S ribosomal subunit maturation GTPase RbgA	rbgA	na	Ribosome: LSU	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0072	slr0267
7002_A0073	cyan3129	14	na	2-phosphopyruvate hydratase (enolase) Eno	eno	na	Glycolysis and Gluconeogenesis | Entner-Doudoroff Pathway	na	na	na	na	na	na	na	4.2.1.11	core	2	na	na	cyt	7002_A0073	slr0752
7002_A0074	cyan2237	14	na	ribosome-binding factor A RbfA	rbfA	ylqF	RNA polymerase	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0074	sll0754
7002_A0075	cyan1915	10	na	glycoside hydrolase family 3	na	na	Sugar utilization	na	na	na	na	na	GH3	na	3.2.1.-	na	2	na	na	cyt	7002_A0075	sll1538
7002_A0076	cyan2976a	9	na	protein of unknown function DUF4327	na	na	Nitrogen assimilation	NtcA	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0076	ssr1562
